

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
  10 	 0.0830 	 0.3955 	 0.2255 	 0.0091 	 0.0008 	 0.1145 	 0.2803 	 0.8551

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   1 	 0.0012 	 0.0013 	 0.2265 	 0.0094 	 0.0007 	 0.0650 	 0.1267 	 0.4999
   2 	 0.0012 	 0.0021 	 0.2263 	 0.0094 	 0.0007 	 0.0651 	 0.1269 	 0.5007
   3 	 0.0012 	 0.0123 	 0.2251 	 0.0097 	 0.0007 	 0.0661 	 0.1299 	 0.5100
   4 	 0.0012 	 0.0534 	 0.2255 	 0.0094 	 0.0007 	 0.0707 	 0.1439 	 0.5497
   5 	 0.0012 	 0.1456 	 0.2256 	 0.0096 	 0.0007 	 0.0813 	 0.1755 	 0.6298
   6 	 0.0012 	 0.2983 	 0.2258 	 0.0094 	 0.0007 	 0.0987 	 0.2276 	 0.7438
   7 	 0.0014 	 0.4834 	 0.2259 	 0.0094 	 0.0007 	 0.1197 	 0.2908 	 0.8617
   8 	 0.0019 	 0.6560 	 0.2263 	 0.0095 	 0.0007 	 0.1395 	 0.3500 	 0.9590
   9 	 0.0019 	 0.7779 	 0.2250 	 0.0096 	 0.0008 	 0.1531 	 0.3909 	 1.0213
  10 	 0.0021 	 0.8610 	 0.2254 	 0.0094 	 0.0010 	 0.1626 	 0.4195 	 1.0625

 Training Error: 
 It# 		 1 			2 			 3 			 4 			5 			ZOE 		MAE		RMSE
   1 	 0.0009 	 0.0016 	 0.2235 	 0.0096 	 0.0008 	 0.0644 	 0.1251 	 0.4967
   2 	 0.0012 	 0.0025 	 0.2238 	 0.0096 	 0.0007 	 0.0645 	 0.1256 	 0.4979
   3 	 0.0009 	 0.0122 	 0.2235 	 0.0092 	 0.0009 	 0.0654 	 0.1286 	 0.5072
   4 	 0.0012 	 0.0526 	 0.2245 	 0.0094 	 0.0007 	 0.0704 	 0.1430 	 0.5476
   5 	 0.0012 	 0.1429 	 0.2244 	 0.0095 	 0.0007 	 0.0806 	 0.1737 	 0.6261
   6 	 0.0009 	 0.3000 	 0.2244 	 0.0095 	 0.0007 	 0.0985 	 0.2273 	 0.7435
